animalid,name,datetime,outcometype,outcomesubtype,animaltype,sex,castration,ageuponoutcome,breed,color
A674233,Missy,Saturday,Adoption,,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,Tan
A713392,Basil,Thursday,Transfer,Partner,Dog,Male,Intact,93,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,Saturday,Transfer,Partner,Cat,Female,Intact,31,Domestic Longhair Mix,Calico
A701428,Kiki,Sunday,Return_to_owner,,Dog,Female,Spayed,1095,Chihuahua Shorthair Mix,Brown
A676146,Desmo,Monday,Return_to_owner,,Dog,Male,Neutered,1825,Dachshund Mix,Black
A679259,Pablo,Monday,Adoption,,Dog,Male,Neutered,2920,Miniature Schnauzer/Miniature Poodle,Black
A688223,,Sunday,Adoption,Offsite,Dog,Female,Spayed,62,Labrador Retriever Mix,Black/White
A691968,,Friday,Euthanasia,Suffering,Cat,Female,Intact,2555,Domestic Shorthair Mix,Tortie
A688871,Pandora,Friday,Adoption,,Cat,Female,Intact,62,Domestic Shorthair Mix,Black
A674530,Jackson,Thursday,Adoption,,Dog,Male,Neutered,1825,Pit Bull,Black
A718604,Watson,Sunday,Adoption,,Dog,Male,Neutered,365,Pit Bull Mix,White/Brown
A686520,,Sunday,Transfer,SCRP,Cat,Male,Intact,93,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,Sunday,Return_to_owner,,Dog,Male,Neutered,730,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,Sunday,Return_to_owner,,Dog,Female,Spayed,3285,Labrador Retriever Mix,Chocolate/White
A662685,Lola,Thursday,Adoption,,Dog,Female,Spayed,1095,Pit Bull Mix,Red/White
A713977,Jumbly,Monday,Return_to_owner,,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Calico
A707781,Pearl,Friday,Adoption,,Dog,Female,Spayed,365,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,Friday,Transfer,Partner,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,Tuesday,Return_to_owner,,Dog,Female,Spayed,365,Pit Bull,Brown Brindle
A679102,Merlin,Tuesday,Transfer,Partner,Cat,Male,Neutered,730,Siamese Mix,Flame Point
A698341,Parsley,Saturday,Return_to_owner,,Dog,Female,Spayed,730,Tibetan Terrier Mix,Brown
A681481,,Wednesday,Transfer,SCRP,Cat,Female,Intact,730,Domestic Shorthair Mix,Blue/White
A714177,,Tuesday,Transfer,SCRP,Cat,Unknown,Unknown,93,Domestic Shorthair Mix,Tortie
A689601,Abby,Sunday,Adoption,Foster,Dog,Female,Spayed,31,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,,Tuesday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Orange Tabby/White
A672453,,Sunday,Adoption,Offsite,Cat,Male,Neutered,310,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,Tuesday,Transfer,Partner,Cat,Female,Spayed,730,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,Sunday,Adoption,,Cat,Female,Spayed,62,Domestic Medium Hair Mix,Calico
A714494,Amarillo,Sunday,Adoption,,Dog,Male,Neutered,186,Labrador Retriever Mix,Yellow
A711853,Nala,Saturday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Brown Tabby
A688720,,Friday,Adoption,,Dog,Female,Spayed,365,Dachshund Mix,Tan
A689690,Winnie,Wednesday,Transfer,Partner,Dog,Female,Intact,186,Dachshund Mix,Brown/White
A679915,Luna,Sunday,Adoption,,Cat,Female,Spayed,365,Domestic Shorthair Mix,Black/White
A687991,,Friday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Calico
A707896,Tokyo,Friday,Adoption,Foster,Cat,Male,Neutered,730,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,Saturday,Adoption,,Dog,Female,Spayed,341,Blue Lacy Mix,Blue/White
A673626,,Monday,Transfer,Partner,Dog,Male,Neutered,93,Rat Terrier Mix,Tricolor
A652097,Minnie,Monday,Return_to_owner,,Dog,Female,Spayed,730,Dachshund Longhair,Brown
A685180,Neville,Saturday,Transfer,Partner,Dog,Male,Neutered,730,Pit Bull Mix,Red
A707442,Conrad,Saturday,Adoption,,Dog,Male,Neutered,730,Pit Bull Mix,Brown/White
A682599,Shiva,Thursday,Adoption,,Cat,Female,Spayed,124,Domestic Longhair,Calico
A685452,,Monday,Transfer,Partner,Dog,Female,Intact,124,Dachshund/Chihuahua Shorthair,Red
A688067,,Monday,Transfer,SCRP,Cat,Female,Intact,155,Domestic Shorthair Mix,Torbie
A714069,Jupiter,Wednesday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,Wednesday,Transfer,Partner,Dog,Male,Neutered,2555,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,Saturday,Adoption,Foster,Cat,Male,Neutered,1460,Domestic Shorthair Mix,Black/White
A711639,,Thursday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,Sunday,Adoption,,Dog,Male,Neutered,186,Border Collie Mix,Black/White
A709048,Libby,Saturday,Adoption,,Dog,Female,Intact,155,Labrador Retriever Mix,Black/White
A719048,Gracie,Wednesday,Return_to_owner,,Dog,Female,Spayed,2920,Maltese,White
A707437,,Sunday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black
A706387,Sugar,Monday,Adoption,,Cat,Female,Spayed,31,Domestic Shorthair Mix,Blue Tabby/White
A720668,,Monday,Return_to_owner,,Dog,Female,Spayed,155,Labrador Retriever Mix,White
A679341,Jethro,Saturday,Transfer,Partner,Cat,Male,Intact,31,Domestic Shorthair Mix,Brown Tabby
A690519,,Thursday,Transfer,SCRP,Cat,Male,Intact,124,Domestic Shorthair Mix,Blue Tabby
A708769,Keyla,Saturday,Adoption,,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,Sunday,Adoption,,Dog,Male,Neutered,730,Labrador Retriever/Rottweiler,Black/Brown
A666444,August,Monday,Transfer,Partner,Cat,Female,Spayed,4015,Domestic Shorthair Mix,Tortie
A701153,,Thursday,Adoption,Foster,Dog,Male,Neutered,62,Dachshund/Manchester Terrier,Tricolor
A710071,Herb,Tuesday,Transfer,Partner,Cat,Male,Neutered,62,Domestic Shorthair Mix,White/Black
A714602,Stripey,Thursday,Adoption,,Cat,Female,Intact,62,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,Monday,Adoption,,Dog,Female,Spayed,31,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Klo Dog,Monday,Return_to_owner,,Dog,Female,Spayed,2555,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,,Wednesday,Transfer,Partner,Cat,Male,Intact,4,Domestic Shorthair Mix,Cream Tabby/White
A715729,Milo,Monday,Return_to_owner,,Dog,Male,Neutered,1460,Siberian Husky,White/Gray
A716575,Scarlet,Tuesday,Transfer,Partner,Dog,Female,Spayed,730,Australian Cattle Dog Mix,Tan/White
A714462,Pebbles,Saturday,Return_to_owner,,Dog,Female,Spayed,365,Pointer Mix,White/Black
A717429,Cairo,Wednesday,Return_to_owner,,Dog,Male,Neutered,730,Pit Bull Mix,Brown Brindle/White
A687336,,Wednesday,Transfer,Partner,Cat,Female,Intact,28,Domestic Medium Hair Mix,Brown Tabby
A713364,Calypso,Friday,Transfer,Partner,Cat,Female,Intact,365,Domestic Shorthair Mix,Black/White
A701999,Luna,Tuesday,Adoption,,Dog,Female,Spayed,730,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,,Thursday,Transfer,SCRP,Cat,Male,Intact,310,Domestic Shorthair Mix,Orange Tabby
A698066,Diva,Saturday,Transfer,Partner,Dog,Female,Spayed,1460,German Shepherd Mix,White
A680585,Olivia,Wednesday,Adoption,,Cat,Female,Spayed,124,Domestic Shorthair Mix,Brown Tabby/White
A699715,Ashley,Wednesday,Transfer,Partner,Dog,Female,Spayed,2190,Catahoula/Labrador Retriever,White/Tan
A702246,,Friday,Adoption,,Dog,Female,Spayed,279,Miniature Poodle Mix,Black/White
A711918,Jaqueline,Saturday,Adoption,,Dog,Female,Spayed,1095,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,Sunday,Adoption,,Cat,Female,Spayed,248,Domestic Shorthair Mix,Torbie
A677577,Roxie,Thursday,Adoption,,Dog,Female,Spayed,310,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,,Tuesday,Transfer,Partner,Cat,Male,Neutered,365,Domestic Shorthair Mix,White/Cream Tabby
A713754,Harper,Tuesday,Adoption,,Dog,Male,Neutered,365,Catahoula Mix,Blue Merle
A703631,Hanley,Friday,Adoption,,Dog,Male,Neutered,365,Labrador Retriever Mix,Black/White
A676209,Boomer,Thursday,Adoption,Foster,Dog,Male,Neutered,93,Labrador Retriever Mix,Yellow
A667508,Brownie,Tuesday,Return_to_owner,,Dog,Male,Intact,2190,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,,Tuesday,Transfer,SCRP,Cat,Unknown,Unknown,365,Domestic Longhair Mix,Black
A676056,Swisha,Thursday,Return_to_owner,,Dog,Male,Neutered,730,American Pit Bull Terrier Mix,Tan/White
A667963,,Saturday,Adoption,,Dog,Female,Spayed,1825,Dachshund Longhair Mix,Tan/White
A702207,,Sunday,Euthanasia,Suffering,Cat,Male,Neutered,4380,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,Tuesday,Adoption,,Dog,Female,Spayed,730,German Shepherd Mix,Sable
A688852,Buddy,Saturday,Adoption,,Dog,Male,Neutered,2190,Labrador Retriever Mix,Black/White
A705885,Meowser,Saturday,Adoption,,Cat,Male,Neutered,93,Domestic Shorthair Mix,Black
A670949,Cassie,Saturday,Return_to_owner,,Dog,Female,Spayed,248,Doberman Pinsch Mix,Tricolor
A665666,Teddy,Friday,Transfer,Partner,Cat,Male,Neutered,365,Domestic Shorthair Mix,Black
A714575,Isis,Saturday,Transfer,Partner,Cat,Female,Intact,5475,Domestic Shorthair Mix,Black
A690480,,Wednesday,Transfer,Partner,Dog,Female,Intact,21,Pointer Mix,Chocolate/White
A691636,Dali,Thursday,Adoption,,Dog,Male,Neutered,155,Dachshund/Jack Russell Terrier,White/Brown
A678482,,Wednesday,Adoption,,Dog,Male,Neutered,730,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,Tuesday,Adoption,Foster,Dog,Female,Spayed,730,Whippet Mix,Brown Brindle/White
A716839,Dino,Friday,Return_to_owner,,Dog,Male,Intact,730,Australian Shepherd Mix,Brown Merle/White
A718547,,Monday,Adoption,,Dog,Female,Spayed,730,Labrador Retriever Mix,Tan/White
A687989,,Friday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Calico
A694408,Emma,Thursday,Transfer,Partner,Dog,Female,Spayed,365,Pit Bull Mix,Brown Tiger/White
A698940,,Saturday,Transfer,SCRP,Cat,Male,Intact,730,Domestic Shorthair Mix,Brown Tabby/White
A666074,Jackson,Wednesday,Transfer,Partner,Cat,Male,Intact,28,Domestic Shorthair Mix,Brown Tabby
A675549,Marco,Tuesday,Transfer,Partner,Dog,Male,Neutered,1460,Chihuahua Shorthair Mix,White/Brown
A682131,,Tuesday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A674737,Byron,Tuesday,Adoption,Foster,Cat,Male,Intact,62,Domestic Shorthair Mix,Black
A719876,Oreo,Tuesday,Transfer,Partner,Dog,Female,Spayed,365,Rat Terrier Mix,White/Black
A676626,Pia,Friday,Adoption,Foster,Dog,Female,Spayed,62,English Pointer Mix,Brown/White
A666478,Bleu,Monday,Adoption,,Dog,Female,Spayed,365,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,,Tuesday,Adoption,,Dog,Female,Spayed,1095,Cairn Terrier Mix,Buff
A487470,Midnight,Monday,Euthanasia,Aggressive,Dog,Male,Neutered,3285,Labrador Retriever/Pit Bull,Black
A665661,Julia,Monday,Return_to_owner,,Cat,Female,Spayed,730,Domestic Shorthair Mix,White/Black
A668260,,Monday,Transfer,Partner,Dog,Female,Spayed,1825,Great Dane,Black/White
A716964,Rello,Sunday,Return_to_owner,,Dog,Male,Intact,730,Chihuahua Shorthair Mix,Black/White
A701029,Bode,Friday,Return_to_owner,,Dog,Male,Neutered,730,Chesa Bay Retr,Brown
A668506,Jake,Tuesday,Return_to_owner,,Dog,Male,Neutered,2555,German Shepherd,Brown/Black
A684709,,Monday,Transfer,SCRP,Cat,Female,Intact,365,Domestic Shorthair Mix,Brown Tabby/White
A616229,Rebecca,Saturday,Adoption,,Cat,Female,Spayed,2190,Domestic Shorthair Mix,Black/White
A680336,Buddy,Saturday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Orange Tabby/White
A701898,Anita,Sunday,Return_to_owner,,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,Tan/Black
A666971,,Thursday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Orange Tabby/White
A691605,Daisy,Saturday,Return_to_owner,,Dog,Female,Spayed,2190,Plott Hound Mix,Brown Brindle
A703244,,Tuesday,Transfer,Partner,Cat,Male,Intact,62,Domestic Shorthair Mix,Brown Tabby/White
A705111,Kiki,Wednesday,Adoption,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Brown/Black
A685460,Jerrid,Tuesday,Adoption,,Cat,Male,Neutered,2555,Siamese Mix,Flame Point
A716890,Vidalia,Sunday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,Brown Tabby/White
A715741,Simba,Thursday,Adoption,,Dog,Male,Neutered,1095,Chow Chow Mix,Red
A676334,,Tuesday,Transfer,SCRP,Cat,Female,Intact,730,Domestic Shorthair Mix,Black
A668122,,Sunday,Adoption,,Dog,Female,Spayed,2555,English Pointer,Liver/White
A702356,,Sunday,Euthanasia,Suffering,Cat,Male,Intact,31,Domestic Shorthair Mix,White/Blue Tabby
A664842,June,Saturday,Return_to_owner,,Dog,Female,Spayed,730,Pit Bull Mix,Brown/White
A709067,Earlene,Wednesday,Return_to_owner,,Dog,Female,Intact,155,Boxer Mix,Black/White
A608918,Vader,Tuesday,Transfer,Partner,Dog,Male,Neutered,1460,Basset Hound/Labrador Retriever,Black/White
A651596,Brownie,Thursday,Return_to_owner,,Dog,Male,Neutered,730,Labrador Retriever Mix,Buff
A720190,Little Missy,Sunday,Transfer,Partner,Dog,Female,Spayed,2555,Airedale Terrier Mix,Tricolor
A676609,Buddy,Sunday,Adoption,,Dog,Male,Neutered,365,Labrador Retriever/Chow Chow,Brown
A666504,,Wednesday,Transfer,Partner,Cat,Male,Neutered,31,Domestic Shorthair Mix,Orange Tabby/White
A693272,Kodiak,Saturday,Adoption,,Dog,Male,Neutered,31,Beagle/German Shepherd,Black/Brown
A711607,Bosco,Sunday,Adoption,,Cat,Male,Neutered,62,Manx Mix,White/Black
A713337,,Tuesday,Transfer,SCRP,Cat,Female,Intact,1095,Domestic Shorthair Mix,Blue
A672758,Daisy,Wednesday,Transfer,Partner,Dog,Female,Spayed,1460,Chihuahua Shorthair/Rat Terrier,Tan/White
A658690,Priscilla,Saturday,Adoption,,Dog,Female,Spayed,365,Pit Bull Mix,Black/White
