animalid,name,datetime,holiday,outcometype,outcomesubtype,animaltype,sex,castration,agegroup,breed,color
A682347,,Thursday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,Thursday,False,Adoption,,Dog,Male,Neutered,adult,Blue Lacy Mix,Gray/White
A690902,Beth,Tuesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Orange Tabby/White
A712979,,Sunday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A707687,Bashful,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Calico
A683443,,Friday,False,Transfer,Partner,Dog,Male,Intact,adult,Chihuahua Shorthair Mix,Tan
A597644,Lola,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,Monday,False,Adoption,,Dog,Male,Neutered,adult,Dachshund/Beagle,Brown/White
A709863,Orangejello,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',Friday,False,Euthanasia,Suffering,Dog,Female,Spayed,,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,Tuesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black
A712236,Bella,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Dachshund Mix,Tan/White
A683961,,Thursday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A714740,Chiquita,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Maltese Mix,White
A691847,Hero,Monday,False,Transfer,Partner,Dog,Male,Neutered,puppy,Pointer Mix,Black/White
A711392,Molly,Tuesday,False,Transfer,Partner,Dog,Female,Intact,puppy,English Foxhound,Buff
A705258,,Tuesday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Red
A676736,Chili,Wednesday,False,Adoption,,Dog,Male,Neutered,puppy,Vizsla Mix,Brown
A701575,Hastings,Friday,False,Transfer,Partner,Dog,Male,Neutered,adult,Pit Bull Mix,Brown Brindle/White
A674913,,Tuesday,False,Adoption,,Dog,Female,Spayed,aging_dog,German Shepherd/Great Pyrenees,White
A706446,Tootsie,Tuesday,False,Return_to_owner,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black
A669540,Snookie,Saturday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,Wednesday,False,Transfer,Partner,Dog,Female,Spayed,adult,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Longhair,Brown Tabby
A675021,,Friday,False,Euthanasia,Suffering,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Calico
A704179,Zeus,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Chow Chow/Pit Bull,Black
A717839,,Sunday,False,Transfer,SCRP,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Black/White
A700740,Charlie,Thursday,False,Adoption,Foster,Dog,Male,Neutered,adult,Chihuahua Shorthair,White
A712376,,Tuesday,False,Euthanasia,Suffering,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,Saturday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Siamese Mix,Seal Point
A713690,,Monday,True,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,Monday,False,Euthanasia,Suffering,Dog,Male,Neutered,,Pit Bull Mix,Brown Brindle
A687789,,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Dachshund/Beagle,Brown/White
A704754,Arthur,Saturday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A707531,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A677594,,Saturday,False,Transfer,Partner,Dog,Female,Intact,puppy,Labrador Retriever Mix,Black/White
A667155,,Monday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Calico
A717147,Freeway,Tuesday,False,Adoption,,Dog,Male,Neutered,puppy,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,Sunday,False,Adoption,,Dog,Female,Spayed,aging_dog,Boxer/Great Dane,Black
A676200,Georgia,Thursday,False,Transfer,Partner,Dog,Female,Spayed,,Lhasa Apso,White/Black
A676680,Hero,Friday,False,Euthanasia,Aggressive,Dog,Female,Spayed,adult,German Shepherd Mix,Black/Tan
A688443,Thelma,Monday,False,Adoption,Foster,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black
A715261,Darcy,Sunday,False,Adoption,,Dog,Female,Spayed,,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,Sunday,False,Transfer,Partner,Dog,Male,Neutered,adult,Border Collie Mix,Black/White
A683416,,Monday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A690658,,Friday,False,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Shorthair Mix,Black/White
A695155,,Wednesday,False,Adoption,,Dog,Male,Neutered,aging_dog,Border Terrier Mix,Gray
A679721,Poppy,Thursday,False,Adoption,,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,Thursday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Boxer Mix,Brown Brindle/White
A665298,,Wednesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Medium Hair Mix,Blue
A708351,,Sunday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Black
A670681,Matty,Thursday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Torbie
A699990,Chubbs,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Cairn Terrier Mix,Tan/White
A707767,Lilly,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,Friday,False,Return_to_owner,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Dogo Argentino Mix,White
A674802,Franklin,Saturday,False,Return_to_owner,,Dog,Male,Neutered,,Dachshund Mix,Black/Brown
A672410,Myles,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Beagle Mix,Tricolor
A657753,Wiz,Friday,False,Euthanasia,Aggressive,Dog,Male,Neutered,adult,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,Sunday,False,Adoption,,Dog,Female,Spayed,adult,Pit Bull Mix,Fawn/White
A678229,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,Monday,False,Transfer,Partner,Dog,Male,Intact,puppy,Pit Bull Mix,White/Brown
A695971,,Monday,False,Euthanasia,Suffering,Cat,Male,Intact,adult,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Tan
A713392,Basil,Thursday,False,Transfer,Partner,Dog,Male,Intact,puppy,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,Saturday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Longhair Mix,Calico
A701428,Kiki,Sunday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,Brown
A676146,Desmo,Monday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Dachshund Mix,Black
A679259,Pablo,Monday,True,Adoption,,Dog,Male,Neutered,,Miniature Schnauzer/Miniature Poodle,Black
A688223,,Sunday,False,Adoption,Offsite,Dog,Female,Spayed,puppy,Labrador Retriever Mix,Black/White
A691968,,Friday,False,Euthanasia,Suffering,Cat,Female,Intact,adult,Domestic Shorthair Mix,Tortie
A688871,Pandora,Friday,False,Adoption,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black
A674530,Jackson,Thursday,False,Adoption,,Dog,Male,Neutered,aging_dog,Pit Bull,Black
A718604,Watson,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,White/Brown
A686520,,Sunday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,Sunday,False,Return_to_owner,,Dog,Male,Neutered,adult,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,Sunday,False,Return_to_owner,,Dog,Female,Spayed,,Labrador Retriever Mix,Chocolate/White
A662685,Lola,Thursday,False,Adoption,,Dog,Female,Spayed,aging_dog,Pit Bull Mix,Red/White
A713977,Jumbly,Monday,False,Return_to_owner,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Calico
A707781,Pearl,Friday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,Friday,False,Transfer,Partner,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,Tuesday,False,Return_to_owner,,Dog,Female,Spayed,adult,Pit Bull,Brown Brindle
A679102,Merlin,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,adult,Siamese Mix,Flame Point
A698341,Parsley,Saturday,False,Return_to_owner,,Dog,Female,Spayed,adult,Tibetan Terrier Mix,Brown
A681481,,Wednesday,False,Transfer,SCRP,Cat,Female,Intact,adult,Domestic Shorthair Mix,Blue/White
A714177,,Tuesday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Tortie
A689601,Abby,Sunday,False,Adoption,Foster,Dog,Female,Spayed,puppy,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,,Tuesday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby/White
A672453,,Sunday,False,Adoption,Offsite,Cat,Male,Neutered,kitten,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,Tuesday,False,Transfer,Partner,Cat,Female,Spayed,adult,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Medium Hair Mix,Calico
A714494,Amarillo,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Labrador Retriever Mix,Yellow
A711853,Nala,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
A688720,,Friday,False,Adoption,,Dog,Female,Spayed,adult,Dachshund Mix,Tan
A689690,Winnie,Wednesday,False,Transfer,Partner,Dog,Female,Intact,puppy,Dachshund Mix,Brown/White
A679915,Luna,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Black/White
A687991,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Calico
A707896,Tokyo,Friday,False,Adoption,Foster,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Blue Lacy Mix,Blue/White
A673626,,Monday,False,Transfer,Partner,Dog,Male,Neutered,puppy,Rat Terrier Mix,Tricolor
A652097,Minnie,Monday,False,Return_to_owner,,Dog,Female,Spayed,adult,Dachshund Longhair,Brown
A685180,Neville,Saturday,False,Transfer,Partner,Dog,Male,Neutered,adult,Pit Bull Mix,Red
A707442,Conrad,Saturday,False,Adoption,,Dog,Male,Neutered,adult,Pit Bull Mix,Brown/White
A682599,Shiva,Thursday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Longhair,Calico
A685452,,Monday,False,Transfer,Partner,Dog,Female,Intact,puppy,Dachshund/Chihuahua Shorthair,Red
A688067,,Monday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Torbie
A714069,Jupiter,Wednesday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,Wednesday,False,Transfer,Partner,Dog,Male,Neutered,,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,Saturday,False,Adoption,Foster,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Black/White
A711639,,Thursday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,Sunday,False,Adoption,,Dog,Male,Neutered,puppy,Border Collie Mix,Black/White
A709048,Libby,Saturday,False,Adoption,,Dog,Female,Intact,puppy,Labrador Retriever Mix,Black/White
A719048,Gracie,Wednesday,False,Return_to_owner,,Dog,Female,Spayed,,Maltese,White
A707437,,Sunday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A706387,Sugar,Monday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Blue Tabby/White
A720668,,Monday,True,Return_to_owner,,Dog,Female,Spayed,puppy,Labrador Retriever Mix,White
A679341,Jethro,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A690519,,Thursday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Tabby
A708769,Keyla,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,Sunday,False,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever/Rottweiler,Black/Brown
A666444,August,Monday,False,Transfer,Partner,Cat,Female,Spayed,senior,Domestic Shorthair Mix,Tortie
A701153,,Thursday,False,Adoption,Foster,Dog,Male,Neutered,puppy,Dachshund/Manchester Terrier,Tricolor
A710071,Herb,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,White/Black
A714602,Stripey,Thursday,False,Adoption,,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,Monday,False,Adoption,,Dog,Female,Spayed,puppy,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Klo Dog,Monday,True,Return_to_owner,,Dog,Female,Spayed,,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Cream Tabby/White
A715729,Milo,Monday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Siberian Husky,White/Gray
A716575,Scarlet,Tuesday,False,Transfer,Partner,Dog,Female,Spayed,adult,Australian Cattle Dog Mix,Tan/White
A714462,Pebbles,Saturday,False,Return_to_owner,,Dog,Female,Spayed,adult,Pointer Mix,White/Black
A717429,Cairo,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Pit Bull Mix,Brown Brindle/White
A687336,,Wednesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Medium Hair Mix,Brown Tabby
A713364,Calypso,Friday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black/White
A701999,Luna,Tuesday,False,Adoption,,Dog,Female,Spayed,adult,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,,Thursday,False,Transfer,SCRP,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A698066,Diva,Saturday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,German Shepherd Mix,White
A680585,Olivia,Wednesday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby/White
A699715,Ashley,Wednesday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Catahoula/Labrador Retriever,White/Tan
A702246,,Friday,False,Adoption,,Dog,Female,Spayed,adult,Miniature Poodle Mix,Black/White
A711918,Jaqueline,Saturday,False,Adoption,,Dog,Female,Spayed,aging_dog,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Torbie
A677577,Roxie,Thursday,False,Adoption,,Dog,Female,Spayed,adult,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,White/Cream Tabby
A713754,Harper,Tuesday,False,Adoption,,Dog,Male,Neutered,adult,Catahoula Mix,Blue Merle
A703631,Hanley,Friday,True,Adoption,,Dog,Male,Neutered,adult,Labrador Retriever Mix,Black/White
A676209,Boomer,Thursday,False,Adoption,Foster,Dog,Male,Neutered,puppy,Labrador Retriever Mix,Yellow
A667508,Brownie,Tuesday,False,Return_to_owner,,Dog,Male,Intact,aging_dog,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,,Tuesday,False,Transfer,SCRP,Cat,Unknown,Unknown,kitten,Domestic Longhair Mix,Black
A676056,Swisha,Thursday,False,Return_to_owner,,Dog,Male,Neutered,adult,American Pit Bull Terrier Mix,Tan/White
A667963,,Saturday,False,Adoption,,Dog,Female,Spayed,aging_dog,Dachshund Longhair Mix,Tan/White
A702207,,Sunday,False,Euthanasia,Suffering,Cat,Male,Neutered,senior,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,Tuesday,False,Adoption,,Dog,Female,Spayed,adult,German Shepherd Mix,Sable
A688852,Buddy,Saturday,False,Adoption,,Dog,Male,Neutered,aging_dog,Labrador Retriever Mix,Black/White
A705885,Meowser,Saturday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A670949,Cassie,Saturday,False,Return_to_owner,,Dog,Female,Spayed,adult,Doberman Pinsch Mix,Tricolor
A665666,Teddy,Friday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black
A714575,Isis,Saturday,False,Transfer,Partner,Cat,Female,Intact,senior,Domestic Shorthair Mix,Black
A690480,,Wednesday,False,Transfer,Partner,Dog,Female,Intact,puppy,Pointer Mix,Chocolate/White
A691636,Dali,Thursday,False,Adoption,,Dog,Male,Neutered,puppy,Dachshund/Jack Russell Terrier,White/Brown
A678482,,Wednesday,False,Adoption,,Dog,Male,Neutered,adult,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,Tuesday,False,Adoption,Foster,Dog,Female,Spayed,adult,Whippet Mix,Brown Brindle/White
A716839,Dino,Friday,False,Return_to_owner,,Dog,Male,Intact,adult,Australian Shepherd Mix,Brown Merle/White
A718547,,Monday,False,Adoption,,Dog,Female,Spayed,adult,Labrador Retriever Mix,Tan/White
A687989,,Friday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Calico
A694408,Emma,Thursday,False,Transfer,Partner,Dog,Female,Spayed,adult,Pit Bull Mix,Brown Tiger/White
A698940,,Saturday,False,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Shorthair Mix,Brown Tabby/White
A666074,Jackson,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A675549,Marco,Tuesday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,White/Brown
A682131,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A674737,Byron,Tuesday,False,Adoption,Foster,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Black
A719876,Oreo,Tuesday,False,Transfer,Partner,Dog,Female,Spayed,adult,Rat Terrier Mix,White/Black
A676626,Pia,Friday,False,Adoption,Foster,Dog,Female,Spayed,puppy,English Pointer Mix,Brown/White
A666478,Bleu,Monday,False,Adoption,,Dog,Female,Spayed,adult,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,,Tuesday,False,Adoption,,Dog,Female,Spayed,aging_dog,Cairn Terrier Mix,Buff
A487470,Midnight,Monday,True,Euthanasia,Aggressive,Dog,Male,Neutered,,Labrador Retriever/Pit Bull,Black
A665661,Julia,Monday,True,Return_to_owner,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,White/Black
A668260,,Monday,False,Transfer,Partner,Dog,Female,Spayed,aging_dog,Great Dane,Black/White
A716964,Rello,Sunday,False,Return_to_owner,,Dog,Male,Intact,adult,Chihuahua Shorthair Mix,Black/White
A701029,Bode,Friday,False,Return_to_owner,,Dog,Male,Neutered,adult,Chesa Bay Retr,Brown
A668506,Jake,Tuesday,False,Return_to_owner,,Dog,Male,Neutered,,German Shepherd,Brown/Black
A684709,,Monday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A616229,Rebecca,Saturday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Black/White
A680336,Buddy,Saturday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby/White
A701898,Anita,Sunday,False,Return_to_owner,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Tan/Black
A666971,,Thursday,False,Adoption,,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby/White
A691605,Daisy,Saturday,False,Return_to_owner,,Dog,Female,Spayed,aging_dog,Plott Hound Mix,Brown Brindle
A703244,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby/White
A705111,Kiki,Wednesday,False,Adoption,,Dog,Female,Spayed,adult,Chihuahua Shorthair Mix,Brown/Black
A685460,Jerrid,Tuesday,False,Adoption,,Cat,Male,Neutered,adult,Siamese Mix,Flame Point
A716890,Vidalia,Sunday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby/White
